Datum	2021-02-18
Zeit	14:25:18

KSP-h(max)[m]	Zeile-Schnitt(alle_Daten)	Zeile_Schnitt(MM-Daten)
0.28	4020	311


Kistler-basierte Maximalwerte
Fz_max[N]	I_max[Ns]	v_max[m/s]	P_abs_max[W]	P_rel_max[W]
4643.951	770.388	11.09	15601.687	224.592
myoMOTION-basierte Maximalwerte
Fz_max[N]	I_max[Ns]	v_max[m/s]	P_abs_max[W]	P_rel_max[W]
4623.2	652.27	9.39	15256.305	219.62


# Zeit[Hz]	Kraft[N]	Impuls[Ns]	Geschw[m/s]	P_abs[W]	P_rel[W]
0.000000	809.443000	0.000000	0.000000	0.000000	0.000000
1.000000	809.443000	0.085000	0.001000	0.994000	0.014000
2.000000	809.443000	0.171000	0.002000	1.988000	0.029000
3.000000	809.771000	0.256000	0.004000	2.985000	0.043000
4.000000	809.771000	0.342000	0.005000	3.982000	0.057000
5.000000	809.771000	0.427000	0.006000	4.979000	0.072000
6.000000	809.771000	0.513000	0.007000	5.976000	0.086000
7.000000	809.771000	0.598000	0.009000	6.973000	0.100000
8.000000	809.771000	0.684000	0.010000	7.971000	0.115000
9.000000	809.771000	0.769000	0.011000	8.967000	0.129000
10.000000	810.398000	0.855000	0.012000	9.974000	0.144000
11.000000	809.771000	0.941000	0.014000	10.967000	0.158000
12.000000	810.398000	1.026000	0.015000	11.973000	0.172000
13.000000	810.100000	1.112000	0.016000	12.972000	0.187000
14.000000	810.100000	1.198000	0.017000	13.969000	0.201000
15.000000	810.398000	1.284000	0.018000	14.978000	0.216000
16.000000	810.100000	1.370000	0.020000	15.973000	0.230000
17.000000	809.798000	1.455000	0.021000	16.967000	0.244000
18.000000	810.096000	1.541000	0.022000	17.969000	0.259000
19.000000	810.096000	1.627000	0.023000	18.972000	0.273000
20.000000	810.096000	1.712000	0.025000	19.969000	0.287000
21.000000	809.798000	1.798000	0.026000	20.963000	0.302000
22.000000	809.762000	1.884000	0.027000	21.956000	0.316000
23.000000	810.424000	1.970000	0.028000	22.977000	0.331000
24.000000	810.424000	2.055000	0.030000	23.978000	0.345000
25.000000	810.424000	2.141000	0.031000	24.983000	0.360000
26.000000	810.424000	2.227000	0.032000	25.984000	0.374000
27.000000	810.090000	2.313000	0.033000	26.977000	0.388000
28.000000	810.090000	2.399000	0.035000	27.974000	0.403000
29.000000	810.090000	2.485000	0.036000	28.977000	0.417000
30.000000	810.090000	2.570000	0.037000	29.974000	0.431000
31.000000	810.090000	2.656000	0.038000	30.976000	0.446000
32.000000	810.090000	2.742000	0.039000	31.974000	0.460000
33.000000	810.090000	2.828000	0.041000	32.976000	0.475000
34.000000	810.090000	2.913000	0.042000	33.974000	0.489000
35.000000	810.090000	2.999000	0.043000	34.976000	0.503000
36.000000	810.090000	3.085000	0.044000	35.974000	0.518000
37.000000	810.090000	3.171000	0.046000	36.976000	0.532000
38.000000	809.755000	3.256000	0.047000	37.957000	0.546000
39.000000	810.090000	3.342000	0.048000	38.973000	0.561000
40.000000	810.090000	3.428000	0.049000	39.972000	0.575000
41.000000	810.090000	3.514000	0.051000	40.973000	0.590000
42.000000	809.755000	3.599000	0.052000	41.954000	0.604000
43.000000	809.755000	3.685000	0.053000	42.951000	0.618000
44.000000	809.755000	3.770000	0.054000	43.947000	0.633000
45.000000	809.755000	3.856000	0.056000	44.945000	0.647000
46.000000	809.755000	3.941000	0.057000	45.941000	0.661000
47.000000	809.762000	4.027000	0.058000	46.940000	0.676000
48.000000	809.421000	4.112000	0.059000	47.914000	0.690000
49.000000	809.421000	4.198000	0.060000	48.909000	0.704000
50.000000	809.762000	4.283000	0.062000	49.924000	0.719000
51.000000	809.421000	4.368000	0.063000	50.900000	0.733000
52.000000	809.421000	4.454000	0.064000	51.892000	0.747000
53.000000	809.421000	4.539000	0.065000	52.887000	0.761000
54.000000	809.421000	4.624000	0.067000	53.880000	0.776000
55.000000	809.421000	4.710000	0.068000	54.875000	0.790000
56.000000	809.086000	4.795000	0.069000	55.844000	0.804000
57.000000	809.086000	4.880000	0.070000	56.835000	0.818000
58.000000	809.427000	4.965000	0.071000	57.851000	0.833000
59.000000	809.086000	5.050000	0.073000	58.820000	0.847000
60.000000	809.086000	5.135000	0.074000	59.809000	0.861000
61.000000	808.783000	5.220000	0.075000	60.778000	0.875000
62.000000	809.411000	5.305000	0.076000	61.813000	0.890000
63.000000	809.070000	5.391000	0.078000	62.783000	0.904000
64.000000	808.783000	5.475000	0.079000	63.746000	0.918000
65.000000	809.070000	5.560000	0.080000	64.762000	0.932000
66.000000	808.783000	5.645000	0.081000	65.726000	0.946000
67.000000	808.783000	5.730000	0.082000	66.716000	0.960000
68.000000	808.783000	5.815000	0.084000	67.702000	0.975000
69.000000	808.783000	5.900000	0.085000	68.693000	0.989000
70.000000	808.783000	5.985000	0.086000	69.678000	1.003000
71.000000	808.482000	6.070000	0.087000	70.642000	1.017000
72.000000	808.482000	6.154000	0.089000	71.624000	1.031000
73.000000	808.822000	6.239000	0.090000	72.644000	1.046000
74.000000	808.147000	6.324000	0.091000	73.567000	1.059000
75.000000	808.147000	6.408000	0.092000	74.551000	1.073000
76.000000	808.147000	6.493000	0.093000	75.532000	1.087000
77.000000	808.147000	6.577000	0.095000	76.516000	1.101000
78.000000	808.147000	6.662000	0.096000	77.497000	1.116000
79.000000	808.147000	6.746000	0.097000	78.481000	1.130000
80.000000	808.147000	6.830000	0.098000	79.462000	1.144000
81.000000	808.147000	6.915000	0.100000	80.446000	1.158000
82.000000	808.147000	6.999000	0.101000	81.427000	1.172000
83.000000	808.147000	7.084000	0.102000	82.411000	1.186000
84.000000	807.812000	7.168000	0.103000	83.356000	1.200000
85.000000	807.812000	7.252000	0.104000	84.337000	1.214000
86.000000	807.812000	7.337000	0.106000	85.315000	1.228000
87.000000	807.478000	7.421000	0.107000	86.259000	1.242000
88.000000	807.478000	7.505000	0.108000	87.234000	1.256000
89.000000	807.478000	7.589000	0.109000	88.212000	1.270000
90.000000	807.478000	7.673000	0.110000	89.187000	1.284000
91.000000	807.478000	7.757000	0.112000	90.165000	1.298000
92.000000	807.149000	7.841000	0.113000	91.102000	1.311000
93.000000	807.478000	7.925000	0.114000	92.115000	1.326000
94.000000	807.149000	8.008000	0.115000	93.052000	1.340000
95.000000	807.478000	8.092000	0.116000	94.065000	1.354000
96.000000	806.814000	8.176000	0.118000	94.962000	1.367000
97.000000	807.143000	8.260000	0.119000	95.972000	1.382000
98.000000	806.814000	8.344000	0.120000	96.907000	1.395000
99.000000	806.814000	8.427000	0.121000	97.875000	1.409000
100.000000	806.511000	8.511000	0.123000	98.810000	1.422000
101.000000	806.511000	8.594000	0.124000	99.775000	1.436000
102.000000	806.511000	8.677000	0.125000	100.745000	1.450000
103.000000	806.511000	8.761000	0.126000	101.711000	1.464000
104.000000	806.511000	8.844000	0.127000	102.681000	1.478000
105.000000	806.511000	8.927000	0.129000	103.647000	1.492000
106.000000	806.511000	9.011000	0.130000	104.617000	1.506000
107.000000	806.511000	9.094000	0.131000	105.582000	1.520000
108.000000	806.549000	9.178000	0.132000	106.558000	1.534000
109.000000	806.851000	9.261000	0.133000	107.565000	1.548000
110.000000	806.511000	9.345000	0.135000	108.492000	1.562000
111.000000	806.215000	9.428000	0.136000	109.415000	1.575000
112.000000	806.517000	9.511000	0.137000	110.425000	1.590000
113.000000	806.215000	9.594000	0.138000	111.348000	1.603000
114.000000	806.215000	9.678000	0.139000	112.315000	1.617000
115.000000	806.215000	9.761000	0.141000	113.278000	1.631000
116.000000	806.215000	9.844000	0.142000	114.245000	1.645000
117.000000	805.886000	9.927000	0.143000	115.160000	1.658000
118.000000	806.215000	10.010000	0.144000	116.172000	1.672000
